Snake,County,Latitude,Longitude,Species_Genotype,PC1,PC2,,,
JSR007,Tuolumne,38.198119,-119.973055,couchii_T,1.146758743,-0.288387031,,,
CRF3051,Lassen,40.39627,-120.77225,couchii_T,-0.007689239,-0.387801621,,,
CRF3052,Lassen,40.39627,-120.77225,couchii_T,-0.007689239,-0.387801621,,,
CRF3055,Lassen,40.39627,-120.77225,couchii_T,-0.00769038,-0.387689236,,,
EJE165,Nevada,39.442981,-120.658114,couchii_T,0.392451912,-0.325873524,,,
EJE163,Nevada,39.511051,-120.554053,couchii_T,0.412395333,-0.338819741,,,
CRF3061,Lassen,40.36777,-120.80296,couchii_T,-0.010490346,-0.382296375,,,
CRF3056,Lassen,40.39627,-120.77225,couchii_T,-0.007728024,-0.383980528,,,
EJE177,Nevada,39.52261,-120.51649,couchii_T,0.424330642,-0.337408538,,,
CRF3220,Tuolumne,38.06843,-119.864053,couchii_T,1.241502523,-0.276454026,,,
EJE169,Nevada,39.442981,-120.658114,couchii_T,0.392344911,-0.315331804,,,
EJE166,Nevada,39.442981,-120.658114,couchii_T,0.392307039,-0.311600619,,,
CRF3293,Calaveras,38.42339,-120.54173,couchii_T,0.817693523,-0.232661872,,,
CRF2671,Nevada,39.442691,-120.658378,couchii_T,0.392139906,-0.295824967,,,
CRF2681,Nevada,39.442691,-120.658378,couchii_WT,0.392057774,-0.287733241,,,
CRF3307,Tuolumne,38.06843,-119.864053,couchii_T,1.241201827,-0.246829319,,,
CRF2676,Nevada,39.442691,-120.658378,couchii_T,0.392041803,-0.28615985,,,
CRF2673,Nevada,39.442691,-120.658378,couchii_T,0.392030396,-0.285035999,,,
CRF2674,Nevada,39.442691,-120.658378,couchii_T,0.392028115,-0.284811229,,,
CRF3074,Tuolumne,38.04301,-119.902411,couchii_T,1.233957077,-0.240620552,,,
EJE179,Sierra,39.511051,-120.554053,couchii_T,0.411909382,-0.290943697,,,
CRF2672,Nevada,39.442691,-120.658378,couchii_T,0.391797687,-0.262109443,,,
JSR009,Tuolumne,38.198119,-119.973055,couchii_T,1.146103507,-0.223833041,,,
CRF2675,Nevada,39.442691,-120.658378,couchii_T,0.391758902,-0.25828835,,,
EJE181,Tuolumne,37.819379,-119.919458,couchii_T,1.308581121,-0.193437756,,,
CRF2679,Nevada,39.442691,-120.658378,couchii_T,0.391713273,-0.253792947,,,
CRF3308,Tuolumne,38.06843,-119.864053,couchii_T,1.240862541,-0.213402805,,,
CRF2678,Nevada,39.442691,-120.658378,couchii_T,0.391695021,-0.251994786,,,
CRF3069,Tuolumne,38.04301,-119.902411,couchii_T,1.233594325,-0.204882097,,,
CRF2677,Nevada,39.442691,-120.658378,couchii_T,0.391610607,-0.24367829,,,
CRF2680,Nevada,39.442691,-120.658378,couchii_T,0.391596919,-0.242329669,,,
EJE182,Tuolumne,37.817948,-119.919969,couchii_T,1.308601586,-0.165196847,,,
CRF3070,Tuolumne,38.04301,-119.902411,couchii_T,1.233115218,-0.157680363,,,
CRF3064,Tuolumne,38.04029,-119.90284,couchii_T,1.233697949,-0.134520891,,,
EJE187,Tuolumne,37.819379,-119.919458,couchii_T,1.30754762,-0.091616873,,,
CRF2670,Nevada,39.442691,-120.658378,couchii_T,0.390656957,-0.149724363,,,
